name,city,country,type,career_field,academic_level,fee_min,fee_max,ranking,scholarship,website
Coursera — Tech Tracks,Islamabad,Pakistan,Online Platform,Software Engineer;Data Scientist;AI/ML Engineer;Cloud Engineer,Undergraduate,0,600,9,True,coursera.org
Coursera — Tech Tracks,Delhi,India,Online Platform,Software Engineer;Data Scientist;AI/ML Engineer;Cloud Engineer,Undergraduate,0,600,9,True,coursera.org
Coursera — Tech Tracks,Dubai,UAE,Online Platform,Software Engineer;Data Scientist;AI/ML Engineer;Cloud Engineer,Undergraduate,0,600,9,True,coursera.org
Udemy — Design & Creative,Karachi,Pakistan,Online Platform,Graphic Designer;UX Designer;Content Creator;Interior Designer,High,0,200,8,False,udemy.com
Udemy — Design & Creative,Lahore,Pakistan,Online Platform,Graphic Designer;UX Designer;Content Creator;Interior Designer,High,0,200,8,False,udemy.com
Udemy — Design & Creative,Mumbai,India,Online Platform,Graphic Designer;UX Designer;Content Creator;Interior Designer,High,0,200,8,False,udemy.com
Khan Academy,Karachi,Pakistan,Online Platform,School Teacher;General;Primary Education,Primary,0,0,9,True,khanacademy.org
Khan Academy,Lahore,Pakistan,Online Platform,School Teacher;General;Primary Education,Primary,0,0,9,True,khanacademy.org
Khan Academy,Delhi,India,Online Platform,School Teacher;General;Primary Education,Primary,0,0,9,True,khanacademy.org
edX — Business Track,Dubai,UAE,Online Platform,Business Analyst;Marketing Manager;Entrepreneur;HR Manager,Undergraduate,0,1000,8,True,edx.org
edX — Business Track,Toronto,Canada,Online Platform,Business Analyst;Marketing Manager;Entrepreneur;HR Manager,Undergraduate,0,1000,8,True,edx.org
GATE Institute (CS),Lahore,Pakistan,Bootcamp,Software Engineer;Mobile Developer;Game Developer,High,500,2000,7,False,gateinstitute.pk
Atomcamp Data Science,Karachi,Pakistan,Bootcamp,Data Scientist;Data Engineer;Business Analyst,Undergraduate,400,1500,7,True,atomcamp.com
Saylani Tech Bootcamp,Karachi,Pakistan,Bootcamp,Software Engineer;Mobile Developer;Content Creator,High,0,200,7,True,saylaniwelfare.com
Saylani Tech Bootcamp,Lahore,Pakistan,Bootcamp,Software Engineer;Mobile Developer;Content Creator,High,0,200,7,True,saylaniwelfare.com
Corvit Systems,Lahore,Pakistan,Bootcamp,Cybersecurity Analyst;Cloud Engineer;DevOps Engineer,High,300,1200,7,False,corvit.com
Corvit Systems,Karachi,Pakistan,Bootcamp,Cybersecurity Analyst;Cloud Engineer;DevOps Engineer,High,300,1200,7,False,corvit.com
